Brand,Product Name,Price (HKD),Image,Detail Image
AMUSE,[MONCHHICHI LIMITED EDITION] QUICK MAKEUP MINI GACHA SET,130,https://static.lottedfs.cn/prod/prd-img/20/96/41/01/00/02/20001419620_3.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260331/20260331175412044e3333f219df042688974252aa094a8d4.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,DEW POWER VEGAN CUSHION REFILL SPECIAL SET,155,https://static.lottedfs.cn/prod/prd-img/00/29/40/01/00/02/20001402900_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260212/202602121332372940ae97180c27b41d9b764dfb6b51988b2.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,[MONCHHICHI EXCLUSIVE EDITION] GAME STATION LIP & CHEEK HEALTHY BALM ,130,https://static.lottedfs.cn/prod/prd-img/57/96/41/01/00/02/20001419657_3.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260331/20260331181221135b19b7220be0143eda91d303c4d34f7df.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,[MONCHHICHI LIMITED EDITION] CERAMIC SKIN PERFECTOR CUSHION (NO REFILL),155,https://static.lottedfs.cn/prod/prd-img/59/95/41/01/00/02/20001419559_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260331/202603311712385004a0c9ecac96e4b589096fc4db3225049.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,JEL-FIT TINT 染唇液,90,https://static.lottedfs.cn/prod/prd-img/26/59/04/01/00/02/20001045926_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20250716/202507161731448724780e1a847e4428c9b7c8928c4726b09.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+1200/format/webp/optimize
AMUSE,JEL FIT GLOSS 唇彩,90,https://static.lottedfs.cn/prod/prd-img/41/97/37/01/00/02/20001379741_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20251120/20251120174557403c20e473e800c4b5c94b331d9d3c5b5f7.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+1200/format/webp/optimize
AMUSE,CERAMIC SKIN PERFECTOR CUSHION REFILL SPECIAL SET,155,https://static.lottedfs.cn/prod/prd-img/70/28/40/01/00/02/20001402870_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260212/202602121311375783e244d92dc144effa4473cccc0677ad3.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,DEW WEAR FOUNDATION 粉底液,155,https://static.lottedfs.cn/prod/prd-img/84/06/13/01/00/02/20001130684_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20250716/20250716173609504c0af5430ed4c4c87852ba66450d7e05d.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
BANILA CO.,COVERLICIOUS POWER FIT FOUNDATION 粉底液 30ml,148,https://static.lottedfs.cn/prod/prd-img/59/17/07/01/00/02/20001071759_3.jpg/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202601/1768898527713.jpg?SF=webp
BANILA CO.,SHEER BLUR POT,85,https://static.lottedfs.cn/prod/prd-img/07/51/43/01/00/02/20001435107_2.webp/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777340502158.jpg?SF=webp
BANILA CO.,PRIME PRIMER CLASSIC 妝前乳 30ml,110,https://static.lottedfs.cn/prod/prd-img/52/50/43/01/00/02/20001435052_1.webp/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777341480067.jpg?SF=webp
BANILA CO.,PRIME PRIMER SETTING FIXER 50ML,60,https://static.lottedfs.cn/prod/prd-img/63/50/43/01/00/02/20001435063_1.webp/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202604/1777340785837.jpg?SF=webp
BANILA CO.,MOOD ON EYE PALETTE,80,https://static.lottedfs.cn/prod/prd-img/38/94/01/01/00/02/20001019438_6.jpg/dims/resize/460x460,https://dl.dropboxusercontent.com/scl/fi/wautaazvzajb4q14vqjwv/_-_-_.jpg?rlkey=09dfxxb2ndw96ff8y5cd9khu6&raw=1
BANILA CO.,ESSENCE SKIN PINK CUSHION (REFILL),80,https://static.lottedfs.cn/prod/prd-img/91/65/26/01/00/02/20001266591_3.jpg/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202601/1768897918947.jpg?SF=webp
BANILA CO.,PRIME PRIMER FINISH POWDER 12G,105,https://static.lottedfs.cn/prod/prd-img/56/50/43/01/00/02/20001435056_1.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260424/202604241453294177ab95f6c4958427cb7417839b25d3264.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
BANILA CO.,Romantic Blush Lip & Cheek,85,https://static.lottedfs.cn/prod/prd-img/71/51/32/01/00/02/20001325171_4.jpg/dims/resize/460x460,https://dl.dropboxusercontent.com/scl/fi/20jpexnyw1obokwjgaply/_-_-_-_.jpg?rlkey=tonkznec6n78doxfkc8jibyb9&raw=1
BANILA CO.,PRIME PRIMER LOOSE SETTING POWDER 8g,105,https://static.lottedfs.com/prod/prd-img/58/50/43/01/00/02/20001435058_1.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260424/20260424145842222b178137f2d7949b3a1127732fbb18095.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
BANILA CO.,DEW GLOW TINT,85,https://static.lottedfs.com/prod/prd-img/68/16/25/01/00/02/20001251668_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20250124/20250124114049900793c110220d14796b3f1762ad6f31772.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
BANILA CO.,SHEER VELVET VEIL TINT,85,https://static.lottedfs.cn/prod/prd-img/75/65/26/01/00/02/20001266575_3.jpg/dims/resize/460x460,
BANILA CO.,ESSENCE SKIN PINK CUSHION (NO REFILL),135,https://static.lottedfs.com/prod/prd-img/83/65/26/01/00/02/20001266583_4.jpg/dims/resize/460x460,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202601/1768897918947.jpg?SF=webp
BBIA,LAST BLUSH,55,https://img.ssgdfs.com/upload/C00001/goos/org/322/250716000873322.jpg?SF=webp&AR=0,"https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_01.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_02.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_03.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_04.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_05.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_06.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_07.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_08.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Last_Blush_09.jpg"
ABOUT TONE,SKIN FIT LAYER CONCEALER,55,https://img.ssgdfs.com/upload/C00001/goos/org/845/250415000813845.jpg?SF=webp&AR=0,"https://abouttone.ivyro.net/product/240912_at_skinlayer_concealer_01.jpg, https://abouttone.ivyro.net/product/240912_at_skinlayer_concealer_02.jpg, https://abouttone.ivyro.net/product/240912_at_skinlayer_concealer_03.jpg, https://abouttone.ivyro.net/product/240912_at_skinlayer_concealer_04.jpg, https://abouttone.ivyro.net/product/240912_at_skinlayer_concealer_05.jpg, https://abouttone.ivyro.net/product/240912_at_skinlayer_concealer_06.jpg https://abouttone.ivyro.net/product/240912_at_skinlayer_concealer_07.jpg"
ABOUT TONE,SKIN FIT LAYER FOUNDATION,115,https://img.ssgdfs.com/upload/C00001/goos/org/847/250415000813847.jpg?SF=webp&AR=0,"https://abouttone.ivyro.net/product/at_skinlayer_foundation_01_newcolor.jpg, https://abouttone.ivyro.net/product/at_skinlayer_foundation_02_newcolor.jpg, https://abouttone.ivyro.net/product/at_skinlayer_foundation_03_newcolor.jpg, https://abouttone.ivyro.net/product/at_skinlayer_foundation_04_newcolor.jpg, https://abouttone.ivyro.net/product/at_skinlayer_foundation_05_newcolor.jpg, https://abouttone.ivyro.net/product/at_skinlayer_foundation_06_newcolor.jpg, https://abouttone.ivyro.net/product/at_skinlayer_foundation_07_newcolor.jpg, https://abouttone.ivyro.net/product/at_skinlayer_foundation_08_newcolor.jpg,  https://abouttone.ivyro.net/product/at_skinlayer_foundation_09_newcolor.jpg"
ABOUT TONE,LONG LASTING MAKEUP COATING FIXER 30ML,55,https://img.ssgdfs.com/upload/C00001/goos/org/833/250415000813833.jpg?SF=webp&AR=0,"https://abouttone.ivyro.net/product/at_longlasting_fixer_1.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_2.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_3.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_4.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_5.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_6.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_7.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_8.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_9.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_10.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_11.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_12.jpg, https://abouttone.ivyro.net/product/at_longlasting_fixer_13.jpg"
BBIA,READY TO WEAR DOWNY CHEEK,50,"http://sky007.ivyro.net/sky007/SANGSE/BBIA/Watercolor_DownyCheek_04.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Watercolor_DownyCheek_01.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Watercolor_DownyCheek_02.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Watercolor_DownyCheek_03.jpg",https://sky007.ivyro.net/sky007/SANGSE/BBIA/Watercolor_DownyCheek_01.jpg
BBIA,LAST VELVET TINT,70,https://img.ssgdfs.com/upload/C00001/goos/org/247/250625000861247.jpg?SF=webp&AR=0,"http://sky007.ivyro.net/sky007/SANGSE/BBIA/Last_Velvet_Tint_2025_05.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Last_Velvet_Tint_2025_01.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Last_Velvet_Tint_2025_02.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Last_Velvet_Tint_2025_03.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Last_Velvet_Tint_2025_04.jpg, http://sky007.ivyro.net/sky007/SANGSE/BBIA/Last_Velvet_Tint_2025_05.jpg"
BBIA,READY TO WEAR EYE PALETTE,88,https://img.ssgdfs.com/upload/C00001/goos/org/697/240130000440697.jpg?SF=webp&AR=0,"https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_01.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_02.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_03.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_04.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_05.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_06.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_07.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_08.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_09.jpg, https://sky007.ivyro.net/sky007/SANGSE/BBIA/2025_RTW_Eye_Palette_respect_10.jpg"
BBIA,L'EAU TINT,75,https://img.ssgdfs.com/upload/C00001/goos/org/527/260119001022527.jpg?SF=webp&AR=0,"https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_01.jpg,https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_02.jpg, https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_03.jpg, https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_04.jpg, https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_05.jpg, https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_06.jpg, https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_07.jpg, https://sky007.ivyro.net/BBIA/SANGSE/2025_LEAU_TINT_08.jpg"
BBIA,EAU POWDER PACT,60,https://img.ssgdfs.com/upload/C00001/goos/org/261/250910000923261.jpg?SF=webp&AR=0,"https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_01.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_02.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_03.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_04.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_05.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_06.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_07.jpg, https://sky007.ivyro.net/BBIA/SANGSE/Eau_Powder_pact_08.jpg"
COLORGRAM,Fruity Glass Tint,75,https://img.ssgdfs.com/upload/C00001/goos/org/211/230811000305211.jpg?SF=webp&AR=0,
COLORGRAM,FRUITY GLASS TINT MINI DUO,80,https://static.lottedfs.cn/prod/prd-img/00/80/19/01/00/02/20001198000_2.jpg/dims/resize/460x460,"https://static.lottedfs.com/kr/product/proxy/src/https://cf-images.oliveyoung.co.kr/product/html/crop/A000000201779/202404010043/crop6/image.oliveyoung.co.kr/uploads/images/editor/QuickUpload/SYS/image/20240322132124/qhee_20240322132124.jpg?created=202404010045/dims/format/webp/optimize; https://static.lottedfs.com/kr/product/proxy/src/https://cf-images.oliveyoung.co.kr/product/html/crop/A000000201779/202404010043/crop0/image.oliveyoung.co.kr/uploads/images/editor/QuickUpload/SYS/image/20240322132142/qhee_20240322132142.jpg?created=202404010045/dims/format/webp/optimize, https://static.lottedfs.com/kr/product/proxy/src/https://cf-images.oliveyoung.co.kr/product/html/crop/A000000201779/202404010043/crop2/image.oliveyoung.co.kr/uploads/images/editor/QuickUpload/SYS/image/20240322132142/qhee_20240322132142.jpg?created=202404010045/dims/format/webp/optimize; https://static.lottedfs.com/kr/product/proxy/src/https://cf-images.oliveyoung.co.kr/product/html/crop/A000000201779/202404010043/crop3/image.oliveyoung.co.kr/uploads/images/editor/QuickUpload/SYS/image/20240322132142/qhee_20240322132142.jpg?created=202404010045/dims/format/webp/optimize; https://static.lottedfs.com/kr/product/proxy/src/https://cf-images.oliveyoung.co.kr/product/html/crop/A000000201779/202404010043/crop4/image.oliveyoung.co.kr/uploads/images/editor/QuickUpload/SYS/image/20240322132142/qhee_20240322132142.jpg?created=202404010045/dims/format/webp/optimize; https://static.lottedfs.com/kr/product/proxy/src/https://cf-images.oliveyoung.co.kr/product/html/crop/A000000201779/202404010043/crop0/image.oliveyoung.co.kr/uploads/images/editor/QuickUpload/SYS/image/20240322134523/qhee_20240322134523.jpg?created=202404010045/dims/format/webp/optimize"
ENTROPY,Slide Up Dough Cheek,130,https://img.ssgdfs.com/upload/C00001/goos/org/278/251014000955278.png?SF=webp&AR=0,
ENTROPY,ENTROPY SLIDE-UP LIP& CHEEK SMOOTHIE EDITION,52,https://static.lottedfs.cn/prod/prd-img/64/58/43/01/00/02/20001435864_1.webp/dims/resize/460x460,
ENTROPY,CHARM TINT SMOOTHIE EDITION ,52,https://static.lottedfs.cn/prod/prd-img/79/58/43/01/00/02/20001435879_1.webp/dims/resize/460x460,
ENTROPY,CHARM TINT GLOSSY GEL LINE,85,https://static.lottedfs.cn/prod/prd-img/15/70/32/01/00/02/20001327015_2.jpg/dims/resize/400x400,
ENTROPY,CHARM TINT BASE BLURRY LINE,85,https://static.lottedfs.cn/prod/prd-img/52/61/32/01/00/02/20001326152_2.jpg/dims/resize/400x400,
ENTROPY,ENTROPY 51% LIP SERUM,95,https://static.lottedfs.cn/prod/prd-img/18/71/32/01/00/02/20001327118_2.jpg/dims/resize/400x400,
ENTROPY,BROW BLEACH,180,https://static.lottedfs.cn/prod/prd-img/25/58/15/01/00/02/20001155825_3.webp/dims/resize/400x400,
FRESHIAN,EGG LIKE CREAM BLUSH,95,https://img.ssgdfs.com/upload/C00001/goos/org/436/251030000971436.png?RS=440,
FRESHIAN,Egglike Cushion SET,145,https://img.ssgdfs.com/upload/C00001/goos/org/613/260327001098613.jpg?RS=440,
FRESHIAN,Pepta Serum Cushion Set,145,https://img.ssgdfs.com/upload/C00001/goos/org/439/251030000971439.png?RS=440,
FRESHIAN,EGG-LIKE FOUNDATION,165,https://img.ssgdfs.com/upload/C00001/goos/org/263/251203000996263.jpg?RS=440,
FRESHIAN,Sensual Vegan Lip Balm 10 New Hope ,115,https://img.ssgdfs.com/upload/C00001/goos/org/923/250708000867923.jpg?SF=webp&AR=0,
FRESHIAN,Glutathione Prep Primer 40g,128,https://img.ssgdfs.com/upload/C00001/goos/org/732/260211001050732.jpg?RS=440,
FRESHIAN,SENSUAL VEGAN LIP BALM,115,https://static.lottedfs.cn/prod/prd-img/71/78/09/01/00/02/20001097871_3.jpg/dims/resize/460x460,
